21:06:10.505934,6280.01,0,6280.0,0,19:06:05.482000Z,19:06:05.482000Z,19:06:05.482000Z,19:06:05.482000Z,18.840030000000002,18.84
21:06:11.572712,6280.01,0,6280.0,0,19:06:05.482000Z,19:06:05.482000Z,19:06:05.482000Z,19:06:05.482000Z,18.840030000000002,18.84
21:06:12.638369,6280.01,0,6280.0,0,19:06:08.799000Z,19:06:08.799000Z,19:06:08.799000Z,19:06:08.799000Z,18.840030000000002,18.84
21:06:15.447089,6280.01,0,6280.0,0,19:06:09.768000Z,19:06:09.768000Z,19:06:09.768000Z,19:06:09.768000Z,18.840030000000002,18.84
21:06:16.515797,6280.01,0,6280.0,0,19:06:12.524000Z,19:06:12.524000Z,19:06:12.524000Z,19:06:12.524000Z,18.840030000000002,18.84
21:06:17.580632,6280.01,0,6280.0,0,19:06:12.524000Z,19:06:12.524000Z,19:06:12.524000Z,19:06:12.524000Z,18.840030000000002,18.84
21:07:02.047806,6280.01,0,6280.0,0,0,0,0,0,18.840030000000002,18.84
21:07:03.115953,6280.01,0,6280.0,0,0,0,0,0,18.840030000000002,18.84
21:07:04.200824,6280.01,0,6280.0,0,0,0,0,0,18.840030000000002,18.84
21:07:06.185048,6280.01,0,6280.0,0,19:07:01.488000Z,19:07:01.488000Z,19:07:01.488000Z,19:07:01.488000Z,18.840030000000002,18.84
21:07:07.264693,6280.01,0,6280.0,0,19:07:03.793000Z,19:07:03.793000Z,19:07:03.793000Z,19:07:03.793000Z,18.840030000000002,18.84
21:07:08.345868,6280.01,0,6280.0,0,19:07:03.793000Z,19:07:03.793000Z,19:07:03.793000Z,19:07:03.793000Z,18.840030000000002,18.84
